"Source","Target","Weight"
"flexibility in mental calculation","problem characteristics",1
"flexible learning","flexible learning path",1
"flexible learning","instructional trajectory",1
"flexible learning","personalised learning",1
"flexible learning","self-regulation",1
"flexible learning path","instructional trajectory",1
"flexible learning path","personalised learning",1
"flexible learning path","self-regulation",1
"foreground","historical awareness",1
"foreground","idea generating processes",1
"formative","simulations",1
"formative","teacher education-preservice",1
"formative","teacher educator",1
"formative assessment","instrumental orchestration",1
"formative assessment","latent transition analysis",1
"formative assessment","letter-as-object misconception",1
"formative assessment","preservice teachers",1
"formative assessment","professional development",1
"formative assessment","summative assessment",1
"formative assessment","teacher education",1
"formative assessment","technology-enhanced classrooms",1
"formative assessment","variables",1
"foucault","in/equity",1
"foucault","learning opportunities",1
"foucault","pedagogical practices",1
"foucault","systems of thought",1
"fpd characteristics","support",1
"fraction as an operator","primary school students",1
"fraction as an operator","problem solving",1
"fraction comparison","learning mathematics with technology",1
"fraction division","fraction multiplication",1
"fraction division","relating registers",1
"fraction division","teacher education",1
"fraction multiplication","teacher education",1
"fractions","gestures",1
"fractions","high-quality mathematics instruction",1
"fractions","instrument",1
"fractions","intelligent tutoring systems",1
"fractions","intuitive conception",1
"fractions","lesson plan",1
"fractions","lesson study",1
"fractions","mathematics education",1
"fractions","mathematics teacher educator",1
"fractions","meaning-related vocabulary",1
"fractions","noticing",1
"fractions","problem posing",1
"fractions","problem solving",1
"fractions","professional learning",1
"fractions","proof based teaching",1
"fractions","proving",1
"fractions","representation",1
"fractions","scaffolding",1
"fractions","teacher collaboration",1
"fractions","teacher knowledge",1
"fractions","teachers’ mathematical knowledge",1
"fractions","translanguaging pedagogy",1
"fractions","variation theory",1
"fractions","visual representation",1
"frédérique papy-lenger","georges papy",1
"frédérique papy-lenger","minicomputer",1
"frédérique papy-lenger","modern mathematics",1
"function","narrative analysis",1
"function","preservice teacher",1
"function","teacher competencies",1
"function aspects","functional thinking",1
"function aspects","functions",1
"function aspects","primary school",1
"function continuity","genai",1
"function continuity","scaffolding",1
"function graph","function table",1
"function graph","linking representations of function",1
"function graph","quadratic function",1
"function graph","representations of function",1
"function graphs","inclusion",1
"function graphs","multimodality",1
"function graphs","visual impairments",1
"function limit","multivariable calculus",1
"function limit","student misconceptions",1
"function limit","student strategies",1
"function table","linking representations of function",1
"function table","quadratic function",1
"function table","representations of function",1
"function transformations","graphical reasoning",1
"functional mathematics","socio-epistemology approach",1
"functional mathematics","teacher professional development",1
"functional thinking","misconceptions and difficulties",1
"functional thinking","pre-service teachers",1
"functional thinking","primary school",1
"functional thinking","slope",1
"functional thinking","teacher knowledge",1
"functions","geogebra plus",1
"functions","graphs",1
"functions","inclusion",1
"functions","inservice teachers",1
"functions","mathematical tasks",1
"functions","misconceptions and difficulties",1
"functions","motion problem",1
"functions","pre-service teachers",1
"functions","preservice teachers",1
"functions","primary school",1
"functions","secondary education",1
"functions","teacher knowledge",1
"functions","visual impairments",1
"functions of illustrations","problem solving",1
"functions of illustrations","use of the illustrations",1
"functions of illustrations","word problem",1
"fundamental didactics","reference materials",1
"fundamental didactics","theory of didactical situations",1
"future scenarios","implementation",1
"future scenarios","tarot cards",1
"future scenarios","technology comprehension",1
"future teachers","geometry",1
"future teachers","reasoning and proof",1
"future teachers","technological pedagogical content knowledge",1
"game-based learning","multiplication",1
"game-based learning","play-based learning",1
"game-based learning","problem-solving",1
"game-based learning","transition to school",1
"games","prototypes",1
"genai","instrumental genesis",1
"genai","mathematics teachers",1
"genai","scaffolding",1
"genai","spreadsheets",1
"genai and large language models","university mathematics",1
"gender differences","inclusion",1
"gender differences","learning strategies",1
"gender differences","motivation",1
"gender differences","prison context",1
"gender differences","self-efficacy",1
"gender differences","stem careers",1
"gender differences","stem education",1
"gender differences","value",1
"gender gap","inclusion",1
"gender gap","mathematics",1
"gender gap","situated knowledge",1
"gender gap","standardized assessment",1
"gender non-conforming","mathematics identity",1
"gender non-conforming","queer",1
"gender non-conforming","trans",1
"general education","mathematical modelling",1
"general education","problem situations",1
"general solution","textbooks analysis",1
"generalisation","inclusion",1
"generalisation","problem-solving",1
"generalisation","teachers’ knowledge",1
"generalisations","patterns and structures",1
"generalisations","properties and relations",1
"generalisations","representation-based proofs",1
"generalization","numerical pattern",1
"generalization","paths of reasoning",1
"generalization","patterns",1
"generalization","primary school",1
"generalization","textbook analysis",1
"generalization","verbalization",1
"generative ai","problem-posing",1
"generative ai","tpack. pre-service high school mathematics teachers",1
"generative artificial intelligence (genai)","mathematics education",1
"generative artificial intelligence (genai)","professional development",1
"generative artificial intelligence (genai)","second level",1
"generative mode of interaction","geometric reasoning skills",1
"generic example","mathematical reasoning",1
"generic example","school mathematics",1
"geo-spatial data","in-service teachers",1
"geogebra","geometric reasoning",1
"geogebra","geometry",1
"geogebra","mathematical transformations",1
"geogebra","multi duo of artefacts",1
"geogebra","normal domain",1
"geogebra","polar change of coordinates",1
"geogebra","questionnaire",1
"geogebra","scaffolding",1
"geogebra","spatial ability",1
"geogebra","spatial skills",1
"geogebra","straight-line helicoids",1
"geogebra","tangible artefact",1
"geogebra","teaching and learning mathematics for engineers",1
"geogebra","virtual reality",1
"geogebra","visuospatial abilities",1
"geogebra plus","secondary education",1
"geogebrization","improper elements",1
"geogebrization","projective geometry",1
"geogebrization","theory of objectification",1
"geological","materiality",1
"geological","political",1
"geometric concepts","kindergarten",1
"geometric concepts","mathematical language",1
"geometric concepts","phenomenography",1
"geometric concepts","vocational education",1
"geometric constructions","properties of quadrilaterals",1
"geometric proofs","proof types",1
"geometric proofs","toulmin scheme",1
"geometric reasoning","multi duo of artefacts",1
"geometric reasoning","spatial skills",1
"geometric reasoning","tangible artefact",1
"geometric reasoning","virtual reality",1
"geometric shapes","prototypes",1
"geometric thinking","geometry",1
"geometric thinking","primary school",1
"geometric transformations","laboratory",1
"geometric transformations","mathematical machines",1
"geometric transformations","museum",1
"geometrical definitions","mathematical discussion",1
"geometrical definitions","non economical definitions",1
"geometrical definitions","quadrilaterals",1
"geometrical reasoning","geometry",1
"geometrical reasoning","the use of physical and digital tools",1
"geometrical reasoning","theoretical framework",1
"geometry","groupworthy tasks",1
"geometry","information and communication technology (ict) competencies",1
"geometry","interdisciplinary",1
"geometry","joint action",1
"geometry","mathematics education",1
"geometry","mathematics teachers",1
"geometry","measurement",1
"geometry","perceptual clues",1
"geometry","proof",1
"geometry","reasoning and proof",1
"geometry","representations",1
"geometry","scaffolding",1
"geometry","secondary school",1
"geometry","secondary teacher education",1
"geometry","spatial reasoning",1
"geometry","spatial structuring",1
"geometry","strategies",1
"geometry","subject matter noticing",1
"geometry","task design",1
"geometry","teacher-researcher collaboration",1
"geometry","technological pedagogical content knowledge",1
"geometry","textbook content",1
"geometry","textbook research",1
"geometry","thales’ theorem",1
"geometry","the use of physical and digital tools",1
"geometry","theoretical framework",1
"geometry","university mathematics",1
"geometry","visual arts",1
"geometry","visualization",1
"geometry and measurement","scratch",1
"geometry curriculum","international comparative study",1
"geometry curriculum","textbook analysis",1
"geometry knowledge","preservice teacher",1
"geometry knowledge","problem solving",1
"geometry knowledge","students’ solutions",1
"geometry of solid figures","projections",1
"georges papy","minicomputer",1
"georges papy","modern mathematics",1
"germany","mathematics curriculum research",1
"germany","turkey",1
"gestures","scaffolding",1
"gifted education","learning environment",1
"gifted education","mathematical heterotopias",1
"gifted education","mathematically gifted",1
"gifted education","prison education",1
"gifted education","secondary schools",1
"gifted education","special needs education",1
"gifted students","illusion of linearity",1
"gifted students","problem-solving",1
"gifted students","proportional reasoning",1
"global model","knowledge model",1
"global model","teachers’ knowledge",1
"global model","technology",1
"goal structures","lower secondary school",1
"goal structures","mathematics-related affect",1
"goals-actions model","mathematical worldviews",1
"goals-actions model","teaching approach",1
"goals-actions model","the derivative concept",1
"going beyond counting","low-achieving students in mathematics",1
"going beyond counting","reasoning",1
"gps","protractor",1
"gps","spatial navigation",1
"gps","textual programming",1
"gpt-4","instrumental genesis",1
"gpt-4","problem solving",1
"gpt-4","students’ perspective",1
"graphical assessment","mathematics education",1
"graphical reasoning","titration experiment",1
"graphical representation","polynomial functions",1
"graphical representation","rational numbers",1
"graphical representation","secondary-tertiary transition",1
"graphical representation","tree graph",1
"graphical representation","word problem solving",1
"graphs","inclusion",1
"graphs","mathematical models",1
"graphs","mental image",1
"graphs","primary school",1
"graphs","secondary school",1
"graphs","solution",1
"graphs","system of equations",1
"graphs","visual impairments",1
"group cognition","group work",1
"group cognition","instrumental genesis",1
"group dynamics","student motivation",1
"group dynamics","student participation",1
"group work","instrumental genesis",1
"group work","interaction",1
"group work","prompt",1
"group work","teacher interventions",1
"groupworthy tasks","joint action",1
"growth mindset","mathematics achievement",1
"growth mindset","mathematics anxiety",1
"growth mindset","mathematics learning motivation",1
"growth mindset","statistics education",1
"growth mindset","teacher education",1
"guardians","questionnaire",1
"guided participation","problems of practice",1
"guided participation","teacher learning",1
"habermas’ construct of rationality","prospective teachers",1
"habermas’ construct of rationality","proving and proof",1
"habermas’ rationality","statistical reasoning",1
"habermas’ rationality","toulmin’s model",1
"habit formation","implementation research",1
"habit formation","interleaved practice",1
"habit formation","theory of change",1
"hands-on","mathematics education",1
"hands-on","steam education",1
"hands-on","sustainable development goals",1
"hatplot","histodot",1
"hatplot","histogram",1
"help-seeking","heuristic trees",1
"help-seeking","primary school",1
"help-seeking","problem-solving",1
"help-seeking","student-teacher interaction",1
"help-seeking","subject-specific support",1
"heuristic strategies","primary school",1
"heuristic strategies","problems solving",1
"heuristic strategies","solving strategies",1
"heuristic strategies","word problems",1
"heuristic trees","problem-solving",1
"high school","proof awareness",1
"high school education","mathematical competence",1
"high school education","mathematical process standards",1
"high school education","steam",1
"high stakes tests","irt",1
"high stakes tests","relative importance analysis",1
"high stakes tests","sub-scores",1
"high stakes tests","test scores",1
"high-quality mathematics instruction","lesson plan",1
"high-quality mathematics instruction","variation theory",1
"high-quality teaching","systematic literature review",1
"higher education","mathematics",1
"higher education","mathematics education",1
"higher education","self-concept",1
"higher education","stem",1
"higher education","stem education",1
"higher education","structural sense",1
"higher education","women",1
"higher education mathematics","inequalities in education",1
"higher education mathematics","mathematics capital",1
"higher education mathematics","socio-political studies",1
"higher education mathematics","survey methods",1
"higher-order thinking skills","systematic literature review",1
"histodot","histogram",1
"historical awareness","idea generating processes",1
"history of education","mathematics education",1
"history of education","textbook research",1
"history of mathematics","mathematical justification",1
"history of mathematics","mathematics education research",1
"history of mathematics","original sources",1
"history of mathematics","otherness",1
"history of mathematics","primary historical sources",1
"history of mathematics","social and political dimension of mathematics education",1
"history of mathematics","teachers’ practices",1
"history of mathematics","use of figures",1
"history of mathematics education","numeracy",1
"history of mathematics education","textbook research",1
"home environment","mathematics",1
"home environment","preschool",1
"home environment","written numbers",1
"home-numeracy","intellectual disabilities",1
"home-numeracy","parental practices",1
"horizontal mathematization","lower secondary school",1
"horizontal mathematization","mathematical modelling",1
"horizontal mathematization","mental representation",1
"horizontal mathematization","teacher’s interventions",1
"human-centered design","instructional strategies",1
"human-centered design","integration methods",1
"human-centered design","mathematics education",1
"husserl","obstacle",1
"hybrid research design","mathematical memes",1
"ideational resource","mathematics teaching framework",1
"ideational resource","pre-service teachers",1
"ideational resource","situated abstraction",1
"ideational resource","transparency",1
"identification","preservice primary teachers",1
"identification","relations in affective variables",1
"identifying","mathematising",1
"identifying","opportunities to learn",1
"identifying","university mathematics lectures",1
"identity","mathematical discourse",1
"identity","mathematics teacher educators",1
"identity","rituals",1
"identity","valsiner’s zone theory",1
"idiosyncratic structures","solving strategies",1
"illusion of linearity","problem-solving",1
"illusion of linearity","proportional reasoning",1
"immigrants","indigenous knowledge",1
"immigrants","student diversity",1
"implementation","innovations",1
"implementation","mathematics education",1
"implementation","mathematics teacher knowledge for teaching problem solving",1
"implementation","post-implementation",1
"implementation","preschool",1
"implementation","readiness to implement",1
"implementation","scale",1
"implementation","statistics",1
"implementation","tarot cards",1
"implementation","technology comprehension",1
"implementation","voluntary professional development",1
"implementation fidelity","mathematics teacher educator",1
"implementation fidelity","mental mathematics",1
"implementation fidelity","pre-service teachers",1
"implementation fidelity","reflective practice",1
"implementation research","influential factors",1
"implementation research","innovation",1
"implementation research","interleaved practice",1
"implementation research","mist project",1
"implementation research","theory of change",1
"improper elements","projective geometry",1
"improper elements","theory of objectification",1
"improvisation","interactions",1
"improvisation","positioning theory",1
"improvisation","secondary school mathematics",1
"in-service primary teachers’ knowledge","multidigit multiplication",1
"in-service primary teachers’ knowledge","strategy flexibility",1
"in-service teacher education","teacher noticing",1
"in-service teacher training","mathematical competencies",1
"in-service teacher training","stumbling stones",1
"in-service teachers","mathematics education",1
"in-service teachers","perceived difficulty",1
"in-service teachers","pre-service teachers",1
"in-service teachers","qualitative analysis",1
"in-the-moment","preservice teacher",1
"in-the-moment","student thinking",1
"in-the-moment","teacher noticing",1
"in-the-moment","video case",1
"in/equity","learning opportunities",1
"in/equity","pedagogical practices",1
"in/equity","systems of thought",1
"inclusion","low-achievement",1
"inclusion","mathematics",1
"inclusion","multimodality",1
"inclusion","practices",1
"inclusion","prison context",1
"inclusion","problem-solving",1
"inclusion","remedial intervention",1
"inclusion","representation",1
"inclusion","situated knowledge",1
"inclusion","standardized assessment",1
"inclusion","teachers’ knowledge",1
"inclusion relationships","mathematical events",1
"inclusion relationships","prototype",1
"inclusive education","low-achievement",1
"inclusive education","mathematics education",1
"inclusive education","participation",1
"inclusive education","professional development",1
"inclusive education","re-enactment",1
"inclusive education","special educational",1
"inconsistency","problem posing",1
"inconsistency","prospective primary teacher",1
"inconsistency","teacher education",1
"indigenous knowledge","student diversity",1
"individual teaching experiments","learning through activity (lta)",1
"individuality","professional development",1
"individuality","situatedness",1
"individuality","teacher education",1
"inequalities","phenomenal sign misconception",1
"inequalities in education","mathematics capital",1
"inequalities in education","socio-political studies",1
"inequalities in education","survey methods",1
"inequality","practices in mathematics education",1
"inequality","research framework",1
"inferentialism","instructional design",1
"inferentialism","risk literacy",1
"inferentialism","statistics education",1
"infinite series","partial sums",1
"infinite series","schema",1
"influential factors","innovation",1
"influential factors","mist project",1
"informal mathematics education","museums",1
"informal mathematics education","problem solving",1
"informal mathematics education","professional development",1
"informal professionalization","online professional development",1
"informal professionalization","self-directed learning",1
"informal statistical modeling","predictive modeling",1
"informal statistical modeling","probabilistic reasoning",1
"informal statistical modeling","statistical modeling",1
"information","modelling",1
"information","models",1
"information and communication technology (ict) competencies","mathematics teachers",1
"information and communication technology (ict) competencies","secondary school",1
"information processing","teacher training",1
"initial teacher education","mathematical knowledge for teaching proof",1
"initial teacher education","mathematics teaching",1
"initial teacher education","proof",1
"initial teacher education","role",1
"initial teacher education","whole-class discussion",1
"innovation","mist project",1
"innovation","turtle geometry",1
"innovations","mathematics education",1
"innovations","scale",1
"innovative practices","resources",1
"innovative practices","statistics teaching",1
"inquiry","least squares",1
"inquiry","linear algebra",1
"inquiry","mathematics teacher educator",1
"inquiry","practice-based research",1
"inquiry","professional learning",1
"inquiry based learning","mathematics education",1
"inquiry based learning","mathematics instruction",1
"inquiry based learning","mathematics teachers collaboration",1
"inquiry based learning","professional development",1
"inquiry stance","praxeologies",1
"inquiry stance","study and research paths",1
"inquiry stance","the anthropological theory of the didactic",1
"inquiry stem teaching","mathematics teachers’ meanings",1
"inquiry-based learning","investigative questions",1
"inquiry-based learning","manifestations of contradictions",1
"inquiry-based learning","mathematics teacher practice",1
"inquiry-based learning","pre-service teachers",1
"inquiry-based learning","problem posing",1
"inquiry-based learning","secondary schools",1
"inquiry-based learning","statistics",1
"inquiry-based learning","study and research paths",1
"inservice teachers","mathematical tasks",1
"inservice teachers","motion problem",1
"inservice teachers","preservice teachers",1
"instagram","integrated education",1
"instagram","social media",1
"instagram","stem education",1
"instagram","world of work",1
"institutional transition problem","lesson study",1
"instruction support","primary education",1
"instruction support","reasoning",1
"instructional change","laboratory of mathematics",1
"instructional change","role of mathematics textbooks",1
"instructional competence","modelling instruction",1
"instructional competence","scaffolding practices",1
"instructional design","risk literacy",1
"instructional design","statistics education",1
"instructional interactions","linear algebra",1
"instructional interactions","problem solving",1
"instructional interactions","secondary-tertiary transition",1
"instructional strategies","integration methods",1
"instructional strategies","mathematics education",1
"instructional trajectory","personalised learning",1
"instructional trajectory","self-regulation",1
"instructional video","stack",1
"instructional video","student misconception",1
"instructional video","techer education",1
"instructional videos","interactive features",1
"instructional videos","two-phase instructional designs",1
"instructional videos","variables as generalizers",1
"instrument","visual representation",1
"instrumental approach","instrumental distance",1
"instrumental approach","instrumental genesis",1
"instrumental approach","instrumental orchestration",1
"instrumental approach","problem posing",1
"instrumental approach","reflection",1
"instrumental distance","instrumental genesis",1
"instrumental distance","instrumental orchestration",1
"instrumental distance","problem posing",1
"instrumental distance","reflection",1
"instrumental genesis","instrumental orchestration",1
"instrumental genesis","mathematics teachers",1
"instrumental genesis","problem posing",1
"instrumental genesis","problem solving",1
"instrumental genesis","reflection",1
"instrumental genesis","semiotic bundle",1
"instrumental genesis","spreadsheets",1
"instrumental genesis","students’ obstacles",1
"instrumental genesis","students’ perspective",1
"instrumental genesis","teacher’s aids",1
"instrumental genesis","technologies",1
"instrumental orchestration","primary mathematics",1
"instrumental orchestration","problem posing",1
"instrumental orchestration","reflection",1
"instrumental orchestration","robot coding integration",1
"instrumental orchestration","technology",1
"instrumental orchestrations","orchestration chains",1
"instrumental orchestrations","technology integration",1
"instruments","numeracy",1
"integral","meaning",1
"integrated education","social media",1
"integrated education","stem education",1
"integrated education","world of work",1
"integration","mathematics activities",1
"integration","measurement",1
"integration","middle school teachers",1
"integration","multiplication",1
"integration","multivariable functions",1
"integration","primary grades",1
"integration","stem",1
"integration","stem education",1
"integration methods","mathematics education",1
"intellectual disabilities","parental practices",1
"intelligent environment","learning goals",1
"intelligent environment","secondary mathematics education",1
"intelligent environment","teacher autonomy",1
"intelligent environment","visual representation",1
"intended learning outcomes","mathematics teacher education",1
"intended learning outcomes","planning",1
"intended learning outcomes","praxeologies",1
"interaction","norms",1
"interaction","preservice teachers",1
"interaction","prompt",1
"interaction","teacher interventions",1
"interaction analysis","norms",1
"interaction analysis","representation",1
"interaction analysis","symbolic interactionism",1
"interaction process analysis","manipulative materials",1
"interaction process analysis","mathematical concepts",1
"interaction process analysis","tablet computers",1
"interactions","secondary school mathematics",1
"interactive features","two-phase instructional designs",1
"interactive features","variables as generalizers",1
"interactive theorem prover","lecturer",1
"interactive theorem prover","proof writing",1
"interactive theorem prover","teaching with lean",1
"interactive video","multiplication",1
"interactive video","primary school children",1
"interactive video","student processes",1
"interdisciplinarity","mathematics",1
"interdisciplinarity","modelling",1
"interdisciplinarity","modular arithmetic",1
"interdisciplinarity","semiosphere",1
"interdisciplinarity","semiotic",1
"interdisciplinarity","ste(a)m",1
"interdisciplinarity","steam education",1
"interdisciplinarity","technology",1
"interdisciplinary","spatial reasoning",1
"interdisciplinary","task design",1
"interdisciplinary","visual arts",1
"interdisciplinary approach","preservice teacher education",1
"interdisciplinary approach","teacher expertise",1
"interdisciplinary approach","textbooks",1
"interdisciplinary approaches","josephus problem",1
"interdisciplinary approaches","problem-solving",1
"interface tasks","pre-service teachers",1
"interface tasks","scriptwriting",1
"interface tasks","symmetry",1
"interleaved practice","theory of change",1
"international comparative study","textbook analysis",1
"interpretative knowledge","interpretative task",1
"interpretative knowledge","mathematics teacher’s specialized knowledge",1
"interpretative knowledge","translation geometric isometric transformation",1
"interpretative task","mathematics teacher’s specialized knowledge",1
"interpretative task","translation geometric isometric transformation",1
"interschool communication","mathematical preparation",1
"interschool communication","organization of studies",1
"interschool communication","secondary-tertiary transition",1
"interschool communication","teacher expectations of students",1
"intervention","structural approach",1
"intervention","two-digit subtraction",1
"intervention","variation theory",1
"interview","manipulatives",1
"interview","tpack",1
"interview study","mathematical modelling",1
"interview study","portfolio",1
"intra-action","mathematical discursive practices",1
"intra-action","multilingual",1
"intra-action","word problems",1
"intrinsic geometry","programming",1
"introductory algebra","space of joint action",1
"introductory algebra","togethering",1
"intuitionistic existential graphs","lakatos’ approach",1
"intuitive conception","mathematics education",1
"intuitive conception","problem solving",1
"intuitive conception","representation",1
"intuitive geometry","secondary education",1
"intuitive geometry","two-column proofs",1
"investigative questions","statistics",1
"investigative questions","study and research paths",1
"irt","relative importance analysis",1
"irt","sub-scores",1
"irt","test scores",1
"isomorphism","lower secondary school pupils",1
"istem","praxeology",1
"istem","secondary school",1
"itineraries","map-reading",1
"itineraries","programming",1
"itineraries","robotics",1
"josephus problem","problem-solving",1
"judgements","open modelling problems",1
"judgements","openness",1
"judgements","teacher education",1
"justification ability","mathematical logic",1
"justification ability","pre-service teacher",1
"kindergarten","language",1
"kindergarten","mathematical argumentation",1
"kindergarten","mathematical language",1
"kindergarten","multiplicative comparison",1
"kindergarten","multiplicative problems",1
"kindergarten","multiplicative reasoning",1
"kindergarten","pedagogy",1
"kindergarten","performance",1
"kindergarten","representations",1
"kindergarten","strategies",1
"kindergarten","symmetry-breaking",1
"kindergarten class","mathematical awareness",1
"kindergarten teachers","preschool education",1
"kindergarten teachers","professional development",1
"klein’s second discontinuity","textbook analysis",1
"klein’s second discontinuity","university mathematics for prospective teachers",1
"knowledge","lesson study facilitator",1
"knowledge","skills",1
"knowledge model","teachers’ knowledge",1
"knowledge model","technology",1
"knowledgeable other","lesson study",1
"knowledgeable other","mathematics",1
"knowledgeable other","sharing contents",1
"knowledgeable other","teacher education",1
"kom-framework","mathematical models",1
"kom-framework","stem education",1
"kyozai kenkyuu","lesson study",1
"kyozai kenkyuu","textbooks",1
"laboratory","mathematical machines",1
"laboratory","museum",1
"laboratory of mathematics","role of mathematics textbooks",1
"lakatos","reasoning",1
"lakatos","recipes",1
"lakatos-style investigation","primary school teachers",1
"lakatos-style investigation","proof and proving",1
"lakatos-style investigation","teacher views",1
"lakatos-style investigation","value-cost-expectancy framework.",1
"lambda calculus","reification",1
"lambda calculus","type theory",1
"language","mathematical learning processes",1
"language","multiplicative comparison",1
"language","representations",1
"language","research knowledge",1
"language","transposition",1
"language as a resource","task design",1
"language means","scalar product",1
"language-responsive teaching","noticing",1
"large language model","problem solving",1
"large scale assessment","mtsk model",1
"large scale assessment","secondary school teachers",1
"large scale assessment","teacher education",1
"large scale assessment","three-fold meta-didactical conflict",1
"large-scale assessment (lsa)","mtsk model",1
"large-scale assessment (lsa)","pre-service teacher education",1
"latent transition analysis","letter-as-object misconception",1
"latent transition analysis","variables",1
"lct","screening",1
"lct","semantic waves",1
"learning","learning trajectories",1
"learning","mathematics education",1
"learning assistants","professional noticing",1
"learning difficulties","pre-service teachers’ thinking",1
"learning difficulties","subjective theory",1
"learning difficulties","teacher education",1
"learning disorders","mathematical creativity",1
"learning disorders","teacher’s perceptions",1
"learning environment","mathematically gifted",1
"learning environment","secondary schools",1
"learning environments","movement-based learning",1
"learning environments","place value",1
"learning goals","secondary mathematics education",1
"learning goals","teacher autonomy",1
"learning goals","visual representation",1
"learning opportunities","pedagogical practices",1
"learning opportunities","systems of thought",1
"learning processes","reflection",1
"learning processes","teacher education",1
"learning strategies","motivation",1
"learning strategies","self-efficacy",1
"learning strategies","value",1
"learning study","mathematical knowledge for teaching",1
"learning study","preservice teacher education",1
"learning study","prospective teachers",1
"learning study","teacher education",1
"learning study","variation theory",1
"learning support","practices",1
"learning support","prospective teachers",1
"learning trajectories","mathematics education",1
"learning trajectories","preservice teachers",1
"learning trajectories","primary school",1
"learning trajectories","teacher education",1
"least squares","linear algebra",1
"lecture","resonance",1
"lecture","university mathematics education",1
"lecturer","proof writing",1
"lecturer","teaching with lean",1
"lego education","moonbase activity",1
"lego education","stem education",1
"lego education","wedo 2.0 core set",1
"length measurement","number",1
"lesson observation","lesson study",1
"lesson observation","praxeological equipment",1
"lesson observation","praxeological reference model",1
"lesson observation","teacher professional development",1
"lesson observation","teaching performance",1
"lesson observation","understanding",1
"lesson plan","lesson scenario",1
"lesson plan","variation theory",1
"lesson planning","mathematics education",1
"lesson planning","mathematics teaching",1
"lesson planning","pre service elementary teachers",1
"lesson planning","teacher noticing",1
"lesson study","mathematical knowledge for teaching problem-solving",1
"lesson study","mathematics",1
"lesson study","meta-disciplinary",1
"lesson study","noticing",1
"lesson study","novice facilitator",1
"lesson study","planification",1
"lesson study","practice knowledge",1
"lesson study","praxeological equipment",1
"lesson study","praxeological reference model",1
"lesson study","professional development",1
"lesson study","professional learning",1
"lesson study","prospective teacher education",1
"lesson study","reflection",1
"lesson study","role",1
"lesson study","scratch",1
"lesson study","sharing contents",1
"lesson study","social practice theory",1
"lesson study","socio-cultural practices",1
"lesson study","study and research paths",1
"lesson study","teacher collaboration",1
"lesson study","teacher education",1
"lesson study","teacher reflection",1
"lesson study","teachers’ mathematical knowledge",1
"lesson study","teaching practice",1
"lesson study","teaching through problemsolving",1
"lesson study","textbooks",1
"lesson study","translation",1
"lesson study","type of talk",1
"lesson study facilitator","skills",1
"letter-as-object misconception","online formative assessment",1
"level of difficulty","mastery experiences",1
"level of difficulty","multilevel structural equation model",1
"level of difficulty","teacher-student interactions",1
"lifelong learning","mathematical literacy",1
"lifelong learning","numeracy",1
"lifelong learning","social work education",1
"linear algebra","linear independence",1
"linear algebra","mathematical working spaces",1
"linear algebra","problem solving",1
"linear algebra","proof methods",1
"linear algebra","reasoning",1
"linear algebra","secondary-tertiary transition",1
"linear algebra","undergraduates",1
"linear equations","sorting task",1
"linear equations","structure sense",1
"linear functions","middle school",1
"linear functions","proportional reasoning",1
"linear functions","task design",1
"linear independence","proof methods",1
"linear independence","reasoning",1
"linear independence","undergraduates",1
"linear overgeneralizations","non-linear geometry problems",1
"linear overgeneralizations","problem solving",1
"linear overgeneralizations","self-generated drawings",1
"linguistic perspective","novice secondary mathematics teachers",1
"linguistic perspective","reasoning and proof",1
"linking representations of function","quadratic function",1
"linking representations of function","representations of function",1
"literature review","mathematics teachers’ professional development",1
"llm","numerical methods",1
"llm","university mathematics education",1
"llms","problem-solving",1
"llms","support-element",1
"low achievers","mathematical modelling",1
"low achievers","opportunities to learn",1
"low-achievement","re-enactment",1
"low-achievement","remedial intervention",1
"low-achieving students in mathematics","reasoning",1
"lower secondary school","mathematical modelling",1
"lower secondary school","mathematics-related affect",1
"lower secondary school","mental representation",1
"lower secondary school","teacher’s interventions",1
"machine learning","mathematics education",1
"machine learning","model building",1
"machine learning","model usability",1
"machine learning","support vector machine",1
"manifestations of contradictions","pre-service teachers",1
"manifestations of contradictions","problem posing",1
"manipulative materials","mathematical concepts",1
"manipulative materials","tablet computers",1
"manipulatives","moral imagination",1
"manipulatives","number concepts",1
"manipulatives","teacher education",1
"manipulatives","tpack",1
"map-reading","programming",1
"map-reading","robotics",1
"marking scheme","mathematical literacy",1
"marking scheme","rasch analysis",1
"mastery experiences","multilevel structural equation model",1
"mastery experiences","teacher-student interactions",1
"material","mathematics education",1
"material","research methods",1
"materiality","political",1
"mathematical ability","preservice support teachers",1
"mathematical ability","special education",1
"mathematical activity","problem",1
"mathematical activity","reliability",1
"mathematical challenge","teachers’ tensions",1
"mathematical co-productivity chain","mathematical literacy",1
"mathematical co-productivity chain","mathematical models",1
"mathematical co-productivity chain","mathematics education",1
"mathematical co-productivity chain","workplace mathematics",1
"mathematical communication","mathematical digital competency",1
"mathematical communication","university mathematics education",1
"mathematical competence","mathematical process standards",1
"mathematical competence","steam",1
"mathematical competencies","stumbling stones",1
"mathematical concepts","plane geometry",1
"mathematical concepts","subject-matter didactics",1
"mathematical concepts","tablet computers",1
"mathematical creativity","social support",1
"mathematical creativity","teacher’s perceptions",1
"mathematical digital competency","university mathematics education",1
"mathematical discourse","rituals",1
"mathematical discourse in teaching","noticing practices around teaching angles",1
"mathematical discourse in teaching","secondary-school mathematics teachers",1
